user,uuid,ts,category,action,label,value
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636730932662,log_1,Vistorian Trace,Session,Start
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636730932662,log_2,index,webpage,load
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636730937050,log_9,start logging,webpage,/
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636730937053,log_9,VistorianLab,ON,/
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636731013108,log_18,page,blur,/
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636731047186,log_18,page,blur,/
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636731099018,hlp_2,index,Data Formating,click
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636731100268,log_18,page,blur,/
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1636731337219,log_18,page,blur,/
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049410607,log_1,Vistorian Trace,Session,Start
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049410607,log_3,index,my session href,click
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049411585,log_2,index,webpage,load
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049416479,log_3,index,my session href,click
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049416503,log_18,page,blur,/
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049418629,log_1,Vistorian Trace,Session,Start
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049418629,log,load,webpage,/web/dataview.html
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049418630,log_9,VistorianLab,ON,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049426235,log_18,page,blur,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049437679,dat_2_DT,data view,DataTables_FileUpload,new file upload
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049437708,log_17,page,focus,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049437708,log_9,VistorianLab,ON,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049437710,log_18,page,blur,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049437711,log_17,page,focus,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049437711,log_9,VistorianLab,ON,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049444205,log_18,page,blur,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049445563,dat_2_DT,data view,DataTables_FileUpload,new file upload
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049445583,log_17,page,focus,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049445583,log_9,VistorianLab,ON,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049445595,log_18,page,blur,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049445596,log_17,page,focus,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049445596,log_9,VistorianLab,ON,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049452527,log_18,page,blur,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049452528,log_1,Vistorian Trace,Session,Start
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049452528,log_17,page,focus,logbook
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049452530,log_9,VistorianLab,ON,logbook
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049458337,log_18,page,blur,logbook
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049458340,log_17,page,focus,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049458342,log_9,VistorianLab,ON,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049458412,dat_18,data view,network_status,False
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049458413,dat_1,data view,new network,created
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049471810,bkm_8, bookmark window ,minimized,dataview
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049478018,dat_18,data view,network_status,False
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049478019,dat_18,data view,network_status,False
626,918cb6bb-997f-4d2e-8de8-319f7e91b847,1637049478021,dat_18,data view,network_status,False
