user,ts,category,action,label,value,ip,referer
2596,1654730926704,_trace,document.location,href,c948869d-ddd2-4e85-b187-97d31d405a8e,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730926704,log_2,load,webpage,/dataview/,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730933872,dat_1,data view,new network,created,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730946605,dat_2_NT,data view,upload NT,Node Table,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730954507,dat_2,File Uploaded,File Uploaded,Book1.csv,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730958210,dat_2,data view,table has header,True,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730969071,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730972696,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730976344,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730980181,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730983991,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730986922,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730990954,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730993035,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730996471,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654731000612,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654731005471,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654731017342,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654731027899,vis_1,data view,Create Visualization,nodelink,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654731027901,dat_19,Network size,nodes,0,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654731027901,dat_19,Network size,links,0,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654731028873,_trace,document.location,href,c948869d-ddd2-4e85-b187-97d31d405a8e,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=webmail
2596,1654731028873,log_2,load,webpage,/nodelink/,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=webmail
2596,1654731029444,_trace,document.location,href,c948869d-ddd2-4e85-b187-97d31d405a8e,165.225.10.181,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=webmail
2596,1654731029444,log_2,node link,webpage,load,165.225.10.181,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=webmail
