user,ts,category,action,label,value,ip,referer
2699,1655364893719,_trace,document.location,href,e74d89f0-cc7a-4a77-8bea-31cc60826e9d,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655364893719,log_2,load,webpage,/dataview/,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655364907635,dat_1,data view,new network,created,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655364954503,dat_2_LT,data view,upload LK,Link Table,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655364960927,dat_12,data view,directed checkbox,False,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655364976571,dat_2,File Uploaded,File Uploaded,France - actor sheet.csv,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655364981244,dat_2,data view,table has header,True,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365073781,dat_2,File Uploaded,File Uploaded,France - relationship sheet-.csv,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365083315,dat_11,Column Type Specified,Target node label:*,target,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365096288,dat_11,Column Type Specified,Link ID:,WEIGHT,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365103064,dat_11,Column Type Specified,Location of target node:,location_target,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365106088,dat_11,Column Type Specified,Link weight:,weight,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365127413,dat_11,Column Type Specified,Time,time,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365160698,dat_11,Column Type Specified,Link type:,linkType,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365162702,dat_11,Column Type Specified,Link ID:,LABEL,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365166422,dat_11,Column Type Specified,Time,time,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365167461,dat_11,Column Type Specified,Time,time,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365169244,dat_11,Column Type Specified,Time,time,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365169836,dat_11,Column Type Specified,Time,time,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365173526,dat_12,data view,directed checkbox,True,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365177778,dat_12,data view,directed checkbox,False,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365196475,_trace,document.location,href,e74d89f0-cc7a-4a77-8bea-31cc60826e9d,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365196475,log_2,load,webpage,/dataview/,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365199631,dat_1,data view,new network,created,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365212159,dat_2_LT,data view,upload LK,Link Table,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365219360,dat_12,data view,directed checkbox,False,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365225549,dat_2,File Uploaded,File Uploaded,France - relationship sheet-.csv,88.171.146.220,https://vistorian.net/dataview/?session=0
2699,1655365227309,dat_2,data view,table has header,True,88.171.146.220,https://vistorian.net/dataview/?session=0
