user,ts,category,action,label,value,ip,referer
2094,1652605594014,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605594014,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605639161,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652605661492,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605685444,dat_1,data view,new network,created,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605711485,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652605722312,hlp_4,index,Map Example,click,194.208.96.17,https://vistorian.net/
2094,1652605722772,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/map/?session=0&datasetName=Marie_Boucher
2094,1652605722772,log_2,load,webpage,/map/,194.208.96.17,https://vistorian.net/map/?session=0&datasetName=Marie_Boucher
2094,1652605756747,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605776358,dat_1,data view,new network,created,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605813840,dat_1,data view,new network,created,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605817810,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652605845038,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605865854,dat_1,data view,new network,created,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605911606,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652605929956,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/
2094,1652605929956,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652605934772,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605946157,hlp_8,dataview,tutorials,click,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652605994272,dat_1,data view,new network,created,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606134319,dat_2_LT,data view,upload LK,Link Table,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606265769,dat_12,data view,directed checkbox,True,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606280537,dat_2,File Uploaded,File Uploaded,Zangerl-Meclova_sit - List 1.csv,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606370103,dat_11,Column Type Specified,Target node label:*,target,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606480958,dat_11,Column Type Specified,Location of target node:,location_target,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606502798,dat_11,Column Type Specified,Link weight:,weight,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606628982,dat_11,Column Type Specified,Link type:,linkType,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606808032,vis_1,data view,Create Visualization,nodelink,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606809311,vis_1,data view,Create Visualization,nodelink,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606810478,vis_1,data view,Create Visualization,nodelink,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606810634,dat_19,Network size,nodes,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606810636,dat_19,Network size,links,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606810670,dat_19,Network size,nodes,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606810670,dat_19,Network size,links,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606810693,dat_19,Network size,nodes,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606810693,dat_19,Network size,links,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652606811004,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=ZangerlMeclova_sit
2094,1652606811004,log_2,load,webpage,/nodelink/,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=ZangerlMeclova_sit
2094,1652606811489,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=ZangerlMeclova_sit
2094,1652606811489,log_2,node link,webpage,load,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=ZangerlMeclova_sit
2094,1652607126976,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607126976,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607128041,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652607132837,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/
2094,1652607132837,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652607135479,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607139840,dat_1,data view,new network,created,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607191220,dat_2_LT,data view,upload LK,Link Table,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607209213,dat_12,data view,directed checkbox,True,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607214555,dat_2,File Uploaded,File Uploaded,Zangerl-Meclova_sit - List 1 (1).csv,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607279389,dat_11,Column Type Specified,Target node label:*,target,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607332294,dat_11,Column Type Specified,Link weight:,weight,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607368154,vis_1,data view,Create Visualization,nodelink,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607368160,dat_19,Network size,nodes,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607368160,dat_19,Network size,links,0,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607368477,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=ZangerlMeclovasit
2094,1652607368477,log_2,load,webpage,/nodelink/,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=ZangerlMeclovasit
2094,1652607368684,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=ZangerlMeclovasit
2094,1652607368684,log_2,node link,webpage,load,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=ZangerlMeclovasit
2094,1652607398991,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607398991,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607400188,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652607406322,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/
2094,1652607406322,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652607408165,hlp_4,index,Node Link Example,click,194.208.96.17,https://vistorian.net/
2094,1652607408528,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=Marie_Boucher
2094,1652607408528,log_2,load,webpage,/nodelink/,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=Marie_Boucher
2094,1652607409063,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=Marie_Boucher
2094,1652607409063,log_2,node link,webpage,load,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=Marie_Boucher
2094,1652607423486,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=Marie_Boucher
2094,1652607468530,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607472435,dat_1,data view,new network,created,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607492209,dat_4,data view,selected network,deleted,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607497017,dat_4,data view,selected network,deleted,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607500958,dat_4,data view,selected network,deleted,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607506831,dat_4,data view,selected network,deleted,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607534645,dat_2_LT,data view,upload LK,Link Table,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607544315,dat_12,data view,directed checkbox,False,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607549976,dat_2,File Uploaded,File Uploaded,Zangerl-Meclova_sit - List 1 (1).csv,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607561086,dat_2,data view,table has header,True,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607587763,dat_11,Column Type Specified,Target node label:*,target,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607655981,dat_11,Column Type Specified,Link weight:,weight,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607672844,dat_11,data view,Node Types,Yes,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607686571,dat_2,data view,table has header,True,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607695523,dat_11,data view,Node Types,No,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607699468,vis_1,data view,Create Visualization,nodelink,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607699626,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=ZangerlMeclova_sit
2094,1652607699626,log_2,load,webpage,/nodelink/,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=ZangerlMeclova_sit
2094,1652607699783,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=ZangerlMeclova_sit
2094,1652607699783,log_2,node link,webpage,load,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=ZangerlMeclova_sit
2094,1652607732052,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607732052,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
2094,1652607733178,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652607746903,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/
2094,1652607746903,log_2,index,webpage,load,194.208.96.17,https://vistorian.net/
2094,1652607749073,hlp_4,index,Node Link Example,click,194.208.96.17,https://vistorian.net/
2094,1652607749340,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=Marie_Boucher
2094,1652607749340,log_2,load,webpage,/nodelink/,194.208.96.17,https://vistorian.net/nodelink/?session=0&datasetName=Marie_Boucher
2094,1652607749776,_trace,document.location,href,1d557155-7e69-45f8-bb36-44dd9b610ca1,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=Marie_Boucher
2094,1652607749776,log_2,node link,webpage,load,194.208.96.17,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=Marie_Boucher
2094,1652607757972,log_2,load,webpage,/dataview/,194.208.96.17,https://vistorian.net/dataview/?session=0
