user,uuid,ts,category,action,label,value
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992175917,bkm_8, bookmark window ,minimized,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992192715,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992192715,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992192725,dat_11,data view,Column Data Type Specified,location_source
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992193289,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992193289,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992196629,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992196630,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992196813,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992196813,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992196813,dat_11,data view,Column Data Type Specified,source
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992198915,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992198915,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992198931,dat_11,data view,Column Data Type Specified,location_source
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992199479,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992199479,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992200882,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992200882,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992200905,dat_11,data view,Column Data Type Specified,location_target
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992201473,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992201474,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992202767,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992202767,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992202769,dat_12,data view,directed checkbox,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992207334,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992207334,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992207659,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992207659,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992207660,dat_11,data view,Column Data Type Specified,target
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992212127,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992212127,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992212357,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992212357,dat_18,data view,network_status,True
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992212357,dat_11,data view,Column Data Type Specified,target
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992233143,log_12,page,close,/web/dataview.html
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992342662,log_18,page,blur,index
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632992518801,log_18,page,blur,index
