usrID,logID,view,event,category,index,start,end,userSession,userID+session,session
2461,vis_1,,Visualization Link,visualization,1,962,963,1,2461_1,1
2461,log_2,Coordinated,Visit Page Coordinated,logging,2,964,967,1,2461_1,1
2461,vis_35,Matrix,Ordering Algorithm,visualization,1,980,981,1,2461_1,1
2461,vis_36,Matrix,Re-Run button,visualization,1,983,984,1,2461_1,1
2461,vis_36,Matrix,Re-Run button,visualization,1,987,988,1,2461_1,1
2461,vis_34,Matrix,Zoom Slider,visualization,1,989,992,1,2461_1,1
2461,vis_30,Node-Link,Node,visualization,1,993,994,1,2461_1,1
2461,vis_32,Node-Link,Link,visualization,1,999,1000,1,2461_1,1
2461,vis_30,Node-Link,Node,visualization,1,999,1000,1,2461_1,1
2461,vis_32,Node-Link,Link,visualization,1,1000,1001,1,2461_1,1
2461,vis_30,Node-Link,Node,visualization,1,1000,1001,1,2461_1,1
2461,vis_32,Node-Link,Link,visualization,1,1000,1001,1,2461_1,1
2461,vis_30,Node-Link,Node,visualization,1,1000,1001,1,2461_1,1
2461,vis_35,Matrix,Ordering Algorithm,visualization,1,1021,1022,1,2461_1,1
2461,vis_1,Matrix,Visualization Link,visualization,1,1435,1436,1,2461_1,1
2461,log_2,Timeline,Visit Page Timeline,logging,2,1436,1437,1,2461_1,1
2461,vis_41,Timeline,Zoom,visualization,1,1439,1441,1,2461_1,1
2461,vis_41,Timeline,Zoom,visualization,1,1445,1446,1,2461_1,1
2461,log_4,Timeline,Return to Data View,logging,2,1448,1449,1,2461_1,1
2461,log_2,,Visit Page ,logging,2,1449,1450,1,2461_1,1
2461,dat_4,,x (delete),data,0,1453,1454,1,2461_1,1
2461,vis_1,,Visualization Link,visualization,1,1457,1458,1,2461_1,1
2461,log_2,Node-Link,Visit Page Node-Link,logging,2,1457,1458,1,2461_1,1
2461,vis_30,Node-Link,Node,visualization,1,1469,1470,1,2461_1,1
2461,vis_41,Node-Link,Zoom,visualization,1,1471,1473,1,2461_1,1
2461,vis_9,Node-Link,Nodelink Labeling-Automatic/importance,visualization,1,1476,1477,1,2461_1,1
2461,vis_32,Node-Link,Link,visualization,1,1488,1490,1,2461_1,1
2461,vis_30,Node-Link,Node,visualization,1,1489,1490,1,2461_1,1
2461,vis_32,Node-Link,Link,visualization,1,1491,1492,1,2461_1,1
2461,vis_32,Node-Link,Link,visualization,1,1495,1496,1,2461_1,1
2699,dat_1,,New Network,data,0,0,1,1,2699_1,2
2699,dat_2_LT,,Upload new Link table,data,0,46,47,1,2699_1,2
2699,dat_2,,upload data,data,0,68,69,1,2699_1,2
2699,dat_2,,upload data,data,0,73,74,1,2699_1,2
2699,dat_2,,upload data,data,0,166,167,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,175,176,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,188,189,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,195,196,1,2699_1,2
