usrID,logID,view,event,category,index,start,end,userSession,userID+session,session
2596,dat_1,,New Network,data,0,0,1,1,2596_1,1
2596,dat_2_NT,,Upload new Node table,data,0,404,405,1,2596_1,1
2596,dat_2,,upload data,data,0,418,419,1,2596_1,1
2596,dat_2,,upload data,data,0,425,426,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,449,450,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,469,470,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,491,492,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,494,495,1,2596_1,1
2596,vis_1,,Visualization Link,visualization,1,509,510,1,2596_1,1
2596,log_2,Node-Link,Visit Page Node-Link,logging,2,511,513,1,2596_1,1
2596,vis_41,Node-Link,Zoom,visualization,1,519,524,1,2596_1,1
2596,vis_41,Node-Link,Zoom,visualization,1,537,538,1,2596_1,1
2596,log_2,,Visit Page ,logging,2,542,543,1,2596_1,1
2596,dat_1,,New Network,data,0,549,550,1,2596_1,1
2596,dat_2_NT,,Upload new Node table,data,0,562,563,1,2596_1,1
2596,dat_2,,upload data,data,0,570,571,1,2596_1,1
2596,dat_2,,upload data,data,0,573,574,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,584,585,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,588,589,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,592,593,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,595,596,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,599,600,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,602,603,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,606,607,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,608,609,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,612,613,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,616,617,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,621,622,1,2596_1,1
2596,dat_11,,Specify Column: Add Relation,data,0,633,634,1,2596_1,1
2596,vis_1,,Visualization Link,visualization,1,643,644,1,2596_1,1
2596,log_2,Node-Link,Visit Page Node-Link,logging,2,644,646,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,651,652,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,654,656,1,2596_1,1
2596,vis_41,Node-Link,Zoom,visualization,1,656,660,1,2596_1,1
2596,vis_41,Node-Link,Zoom,visualization,1,662,664,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,665,666,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,666,668,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,667,668,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,667,668,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,679,683,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,682,683,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,688,689,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,688,689,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,688,689,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,733,737,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,737,739,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,738,739,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,738,740,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,739,740,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,743,745,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,747,748,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,748,749,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,748,749,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,748,749,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,749,750,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,776,779,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,779,783,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,782,783,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,782,783,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,782,783,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,782,784,1,2596_1,1
2596,vis_41,Node-Link,Zoom,visualization,1,784,786,1,2596_1,1
2596,vis_41,Node-Link,Zoom,visualization,1,792,796,1,2596_1,1
2596,vis_30,Node-Link,Node,visualization,1,811,812,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,823,828,1,2596_1,1
2596,vis_32,Node-Link,Link,visualization,1,1476,1477,1,2596_1,1
2596,vis_41,Node-Link,Zoom,visualization,1,1477,1479,1,2596_1,1
2596,log_2,,Visit Page ,logging,2,0,1,2,2596_2,2
2596,log_2,,Visit Page ,logging,2,5,6,2,2596_2,2
